epoch ,step ,test_loss         ,train_loss         ,val_loss
    0 ,  49 ,                  ,25.32822608947754  ,  
    0 ,  71 ,                  ,                   ,50.572696685791016
    1 ,  99 ,                  ,43.227970123291016 ,  
    1 , 143 ,                  ,                   ,48.94913864135742
    2 , 149 ,                  ,49.12399673461914  ,  
    2 , 199 ,                  ,49.510887145996094 ,  
    2 , 215 ,                  ,                   ,48.85185241699219
    3 , 249 ,                  ,53.10419464111328  ,  
    3 , 287 ,                  ,                   ,48.5510368347168
    4 , 299 ,                  ,23.128223419189453 ,  
    4 , 349 ,                  ,14.409727096557617 ,  
    4 , 359 ,                  ,                   ,47.872581481933594
    5 , 360 ,34.27167892456055 ,                   ,  
